row0=real_env, row1=wm_teacher_forced, row2=wm_open_loop
burnin_horizon=5
t,real_action,real_reward,real_done,wm_tf_reward,wm_tf_done_prob,wm_tf_done,wm_tf_obs_min,wm_tf_obs_max,wm_tf_obs_mean,wm_tf_obs_std,wm_tf_black_frac,wm_open_action,wm_open_reward,wm_open_done_prob,wm_open_done,wm_open_obs_min,wm_open_obs_max,wm_open_obs_mean,wm_open_obs_std,wm_open_black_frac
0,do(5),0.000,0,0.000,0.000,0,-0.056523,1.149148,0.273458,0.286827,0.195011,do(5),0.000,0.000,0,-0.056523,1.149148,0.273458,0.286827,0.195011
1,place_table(8),1.000,0,1.000,0.000,0,-0.056523,1.046683,0.271757,0.285114,0.202570,place_table(8),1.000,0.000,0,-0.056523,1.046683,0.271757,0.285114,0.202570
2,right(2),0.000,0,0.000,0.000,0,-0.056523,1.046683,0.298672,0.294543,0.202822,right(2),0.000,0.000,0,-0.056523,1.046683,0.291560,0.292784,0.202738
3,down(4),0.000,0,0.000,0.000,0,-0.056523,1.046683,0.280887,0.288637,0.204082,down(4),0.000,0.000,0,-0.056523,1.046683,0.275939,0.286663,0.204082
4,do(5),0.000,0,0.000,0.000,0,-0.056523,1.091234,0.285560,0.289898,0.195011,do(5),0.000,0.000,0,-0.056523,1.091234,0.280612,0.288013,0.195011
5,make_wood_pickaxe(11),1.000,0,1.000,0.000,0,-0.056523,1.046683,0.291209,0.301199,0.198791,make_wood_pickaxe(11),1.000,0.000,0,-0.056523,1.046683,0.285778,0.298756,0.198791
6,up(3),0.000,0,0.000,0.000,0,-0.056523,1.046683,0.311112,0.308958,0.198035,up(3),0.000,0.000,0,-0.056523,1.046683,0.302850,0.306176,0.197447
7,up(3),0.000,0,0.000,0.000,0,-0.056523,1.046683,0.330468,0.314309,0.199798,right(2),0.000,0.000,0,-0.056523,1.046683,0.308282,0.308260,0.197447
8,up(3),0.000,0,0.000,0.000,0,-0.056523,1.046683,0.331484,0.309980,0.202150,up(3),0.000,0.000,0,-0.056523,1.046683,0.330009,0.315522,0.197447
9,up(3),0.000,0,0.000,0.000,0,-0.056523,1.046683,0.325500,0.299033,0.202738,up(3),0.000,0.000,0,-0.056523,1.046683,0.359999,0.322558,0.198035
10,up(3),0.000,0,0.000,0.000,0,-0.056523,1.046683,0.328120,0.285107,0.201730,up(3),0.000,0.000,0,-0.056523,1.046683,0.371544,0.323957,0.199379
