row0=real_env, row1=wm_teacher_forced, row2=wm_open_loop
t,real_action,real_reward,real_done,wm_tf_reward,wm_tf_done_prob,wm_tf_done,wm_open_action,wm_open_reward,wm_open_done_prob,wm_open_done
0,move_right(1),0.000,0,0.000,0.556,0,move_right(1),0.000,0.556,1
1,move_up(2),0.000,0,0.000,0.500,0,move_up(2),1.000,0.500,1
2,sleep(5),1.000,0,1.000,0.500,0,make_wood_pickaxe(10),0.000,0.500,0
3,move_up(2),0.000,0,1.000,0.500,0,move_up(2),1.000,0.500,1
4,sleep(5),0.000,0,0.000,0.500,0,place_table(7),1.000,0.500,0
5,place_furnace(8),1.000,0,0.000,0.500,0,sleep(5),1.000,0.500,0
6,move_down(3),0.000,0,1.000,0.500,0,sleep(5),1.000,0.500,1
7,sleep(5),0.000,0,1.000,0.500,0,move_down(3),1.000,0.500,0
8,make_stone_pickaxe(11),1.000,0,1.000,0.500,1,sleep(5),1.000,0.500,0
9,move_down(3),0.000,0,1.000,0.500,1,move_down(3),0.000,0.500,1
10,move_down(3),0.000,0,1.000,0.500,0,move_up(2),0.000,0.500,1
11,sleep(5),0.000,0,0.000,0.500,0,move_up(2),0.000,0.500,1
12,move_down(3),0.000,0,0.000,0.500,1,sleep(5),0.000,0.500,0
13,sleep(5),1.000,0,1.000,0.500,0,do(4),1.000,0.500,1
14,place_table(7),1.000,0,0.000,0.500,0,sleep(5),1.000,0.500,1
15,sleep(5),0.000,0,1.000,0.500,0,sleep(5),1.000,0.500,0
16,place_plant(9),1.000,0,1.000,0.500,0,move_right(1),0.000,0.500,1
17,do(4),0.000,0,0.000,0.500,1,do(4),0.000,0.500,0
18,do(4),0.000,0,1.000,0.500,1,make_wood_pickaxe(10),1.000,0.500,0
